"","name","category","main_category","currency","deadline","goal","launched","pledged","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","class"
"199535","Richard Mabe HOPE Manifesatation Tools Workshops and Lessons","Publishing","Publishing","USD","2014-12-25",1000,"2014-10-26 15:44:13",100,1,"US",100,100,1000,"failed"
"367985","NMEA0183 Wi-Fi Device","Hardware","Technology","GBP","2017-07-05",5000,"2017-05-31 16:45:47",7072,107,"GB",1644.08,9120.57,6448.37,"successful"
"349375","Punk Jews","Documentary","Film & Video","USD","2010-07-07",10000,"2010-04-08 07:50:50",10721.22,206,"US",10721.22,10721.22,10000,"successful"
"9405","The Cookening - A 2D Action Adventure Game","Video Games","Games","USD","2012-12-30",10000,"2012-11-30 03:10:16",4489,70,"US",4489,4489,10000,"failed"
"159862","FREE THE MUSIC:  Meresha Debut EP ""Lunatic""","Rock","Music","USD","2013-09-29",975,"2013-08-31 13:05:36",2008,111,"US",2008,2008,975,"successful"
"55676","DoubleCross Candle holders by Kenneth Nilson","Sculpture","Art","USD","2010-03-01",7000,"2009-12-24 20:46:30",7325,43,"US",7325,7325,7000,"successful"
"241672","Art & Adventure in Arctic Alaska Part 2","Mixed Media","Art","USD","2013-06-30",2500,"2013-05-31 19:10:15",2505,16,"US",2505,2505,2500,"successful"
"278083","Aly's Boots - a unique twist to the everyday rain boot","Footwear","Fashion","USD","2014-08-06",12000,"2014-07-07 18:11:58",12178,136,"US",12178,12178,12000,"successful"
"101617","Sports, A Celebration of Life","Digital Art","Art","USD","2012-12-24",28500,"2012-11-17 16:43:07",445,5,"US",445,445,28500,"failed"
"251889","Chris Harrell - the album project","Music","Music","USD","2013-01-01",28000,"2012-11-30 21:09:12",28817,128,"US",28817,28817,28000,"successful"
"126435","Dog Bowl","Shorts","Film & Video","USD","2012-09-13",10700,"2012-08-14 22:58:17",22855.01,213,"US",22855.01,22855.01,10700,"successful"
"360688","Hootka - Marked (first full albumrelease ) + shirtrelease","Rock","Music","EUR","2015-08-06",2500,"2015-07-07 12:38:18",195,5,"BE",215.35,213.35,2735.26,"failed"
"47107","Redemption's New DVD!","Rock","Music","USD","2012-09-11",7500,"2012-08-14 18:47:33",11650,104,"US",11650,11650,7500,"successful"
"148129","ScentSationally Yours All Natural Deodorant, Loofah soaps.","DIY","Crafts","USD","2017-04-02",1000,"2017-03-03 20:27:22",30,3,"US",0,30,1000,"failed"
"102644","Fountain of Youth","Ceramics","Art","EUR","2017-05-11",6000,"2017-04-11 15:31:26",0,0,"DE",0,0,6525.57,"failed"
"293437","'God's Fingerprint'","Fiction","Publishing","USD","2013-07-26",1500,"2013-06-26 18:14:51",1,1,"US",1,1,1500,"failed"
"151825","Spine: Titanium Minimalist Wallet","Product Design","Design","USD","2014-10-05",4500,"2014-09-10 20:59:49",10821,272,"US",10821,10821,4500,"successful"
"205081","Chinese Brushless Paintings, not your normal finger paints!","Painting","Art","USD","2014-07-13",10000,"2014-06-13 22:28:29",233,7,"US",233,233,10000,"failed"
"37422","Peach State Project - Newcomer Dance Team Debut","Dance","Dance","USD","2013-02-16",1500,"2013-02-05 21:34:25",40,2,"US",40,40,1500,"failed"
"190600","The Stretch Tarot - Relaunch","Playing Cards","Games","GBP","2016-01-13",3000,"2015-12-14 22:51:19",8430,191,"GB",12822.93,12082.04,4299.66,"successful"
"80989","Cats and the City","Animals","Photography","EUR","2016-03-21",800,"2016-02-20 12:36:43",350,16,"IT",389.32,390.39,892.32,"failed"
"109359","Marlon: Totepack, Rucksack, and Travel Pack","Product Design","Design","USD","2017-04-05",20000,"2017-02-13 19:01:42",44846,234,"US",19491,44846,20000,"successful"
"40857","E-Taxi","Apps","Technology","USD","2015-09-21",22000,"2015-08-22 23:57:49",10,2,"US",10,10,22000,"failed"
"339285","Race Street Brew Works","Food","Food","USD","2013-07-24",17500,"2013-06-24 19:36:59",4427,37,"US",4427,4427,17500,"failed"
"374780","Hushme - The World's First Voice Mask For Smartphones","Gadgets","Technology","USD","2017-06-09",70000,"2017-05-10 14:55:45",71880,284,"US",14764,71880,70000,"successful"
"277951","Bruce Wayne: Year One","Shorts","Film & Video","USD","2011-12-08",600,"2011-11-08 20:22:08",62,6,"US",62,62,600,"failed"
"35523","Twisted Texas Hold'em","Playing Cards","Games","USD","2015-03-22",9000,"2015-02-20 02:05:11",126,9,"US",126,126,9000,"failed"
"106434","""87 Sundays"" a True Story of Addiction, Recovery & Faith","Nonfiction","Publishing","USD","2017-04-14",3000,"2017-03-05 05:19:59",3000,23,"US",150,3000,3000,"successful"
"376370","The Bet","Shorts","Film & Video","USD","2013-03-01",400,"2013-02-20 07:10:57",425,10,"US",425,425,400,"successful"
"377425","Make Magicks Merch for SXSW 2011","Music","Music","USD","2011-03-07",350,"2011-02-25 02:02:52",510,9,"US",510,510,350,"successful"
"56335","One Hard-Working Couple, With a Goal, On an Organic Mission","Farms","Food","USD","2015-05-27",4000,"2015-03-28 20:58:59",4542,46,"US",4542,4542,4000,"successful"
"48509","Commodore: The Inside Story","Nonfiction","Publishing","GBP","2017-04-10",25000,"2017-03-11 19:43:53",50225,1231,"GB",24604.11,62986.74,31352.29,"successful"
"308562","Escape Craft Brewery: complex beers for advanced paletes","Drinks","Food","USD","2014-09-19",15000,"2014-08-18 08:36:19",17030,115,"US",17030,17030,15000,"successful"
"76927","NSA vs USA: an electro-house dance track & music video","Electronic Music","Music","USD","2014-02-06",7750,"2014-01-07 19:58:23",9060.98,170,"US",9060.98,9060.98,7750,"successful"
"343540","Metal Flower Art start-up","Sculpture","Art","USD","2016-01-18",5000,"2015-11-19 19:37:24",10,1,"US",10,10,5000,"failed"
"193827","Color Tree: Your App for Finding Great Color Schemes","Technology","Technology","USD","2012-12-31",10000,"2012-11-27 01:43:23",2153,79,"US",2153,2153,10000,"failed"
"147148","After The Gold Rush - A Science Comic","Comic Books","Comics","USD","2015-09-05",4800,"2015-08-06 20:57:27",14767,654,"US",14767,14767,4800,"successful"
"148368","From 0 to 60 -Fashion Thesis Collection","Fashion","Fashion","CAD","2016-03-26",6000,"2016-02-25 16:36:40",6366,25,"CA",4613.53,4886.4,4605.47,"successful"
"252561","Michale Graves ""Bedlam"" Monster Acoustic CD","Rock","Music","USD","2016-05-01",3500,"2016-04-23 00:00:49",13383.66,141,"US",13383.66,13383.66,3500,"successful"
"320715","Laser Tag Federation","Games","Games","USD","2014-03-20",65000,"2014-01-22 00:41:45",20,1,"US",20,20,65000,"failed"
"340370","Veteran made coin jewelry and accessories","Jewelry","Fashion","USD","2017-09-16",500,"2017-09-01 19:12:05",810,19,"US",217,810,500,"successful"
"34053","Hidden Temple: Streetwear For The Conscious Soul","Apparel","Fashion","GBP","2016-11-26",5000,"2016-10-27 09:39:29",421,21,"GB",0,531.45,6311.78,"failed"
"68653","BING CROSBY THE TRUTH BEHIND THE LEGEND","Documentary","Film & Video","USD","2013-12-31",50000,"2013-11-15 02:37:49",1384,15,"US",1384,1384,50000,"failed"
"114323","Pinhole Pro S | World's Widest Professional Pinhole Lens","Camera Equipment","Technology","CAD","2017-12-21",10000,"2017-11-16 17:14:38",329287,3000,"CA",54300.77,259219.87,7872.16,"successful"
"91091","Phoenixwallets 3: The three wallet designs we truly love.","Product Design","Design","USD","2016-11-20",7000,"2016-10-17 00:12:42",1042,43,"US",118,1042,7000,"failed"
"70065","DK Custom Welding & Design","Product Design","Design","CAD","2014-09-26",30000,"2014-08-27 01:07:54",2000,2,"CA",1825.86,1799.86,26997.84,"failed"
"237980","cut LOOSE! (a musical theatre music video)","Shorts","Film & Video","USD","2012-05-17",3500,"2012-04-27 22:59:30",3505,37,"US",3505,3505,3500,"successful"
"243368","PC-Fashion Community","Video Games","Games","EUR","2016-03-11",15000,"2016-02-10 08:17:19",2,2,"DE",2.24,2.22,16635.06,"failed"
"232390","Complete x Infinity Visual Album","Music Videos","Film & Video","USD","2017-03-20",1,"2017-01-19 23:46:57",3320.88,119,"US",1507.88,3320.88,1,"successful"
"157715","Type Classification Posters","Graphic Design","Design","GBP","2014-07-20",600,"2014-06-20 09:18:15",1232,61,"GB",2091.9,2092.92,1019.28,"successful"
"115741","Neomics Fantasy Football Necromancer Team + 10 other teams","Tabletop Games","Games","USD","2014-06-12",2100,"2014-05-13 15:21:13",3362.16,32,"US",3362.16,3362.16,2100,"successful"
"162363","ART!!!  the untold story of seven un-aspiring, aspiring filmmakers. ","Documentary","Film & Video","USD","2010-11-09",1500,"2010-10-10 18:41:39",50,1,"US",50,50,1500,"failed"
"127919","The Hope Project","World Music","Music","USD","2012-03-08",35000,"2012-02-07 16:58:31",840,8,"US",840,840,35000,"failed"
"202221","TAKING THE FAMILY ON THE ROAD WITH US!","Music","Music","USD","2011-03-13",5337,"2011-01-20 07:30:54",840,24,"US",840,840,5337,"failed"
"73634","CountYourPills.com","Apps","Technology","USD","2016-04-08",50000,"2016-03-09 02:07:52",75,2,"US",75,75,50000,"failed"
"157679","Professional Quality Brewing Kettles - Home Brew Price","Product Design","Design","USD","2014-12-10",30000,"2014-11-10 01:05:11",8909,79,"US",8909,8909,30000,"failed"
"152866","IOT Development and Sensors Kit using esp8266 with Arduino","DIY Electronics","Technology","HKD","2017-07-15",20000,"2017-05-31 18:55:35",43470,76,"HK",1469.28,5567.3,2561.44,"successful"
"207616","Biom, the first vegetal cyborg","Hardware","Technology","EUR","2015-08-07",50000,"2015-07-08 10:05:42",8472,161,"FR",9350.16,9269.25,54705.19,"failed"
"94418","Forno Moto: Bringing Pizza Napoletana to Trade Street, W-S","Food","Food","USD","2013-08-30",20000,"2013-07-16 20:39:49",22366,193,"US",22366,22366,20000,"successful"
"343597","New Album from Karl Blau: The Soul of Country","Country & Folk","Music","USD","2015-06-10",9000,"2015-05-11 20:24:49",10601,255,"US",10601,10601,9000,"successful"
"106646","The Inclusive Companion Series","Children's Books","Publishing","USD","2016-08-31",5000,"2016-08-01 16:27:25",5000.27,48,"US",435,5000.27,5000,"successful"
"174477","Web World Adventures","Comics","Comics","USD","2014-12-03",555,"2014-11-03 14:56:09",921,20,"US",921,921,555,"successful"
"116162","Channel 6 news van enamel pin","Crafts","Crafts","USD","2017-11-22",150,"2017-11-07 21:16:00",196,11,"US",125,196,150,"successful"
"214594","TEN FACES OF ANNA: SLEEPWALKER","Webseries","Film & Video","GBP","2014-04-06",550,"2014-03-25 21:34:50",175,2,"GB",288.42,292.8,920.22,"failed"
"368859","Hour Eleven would like you to get involved on our next album","Music","Music","USD","2014-06-28",15000,"2014-05-29 17:37:21",80,3,"US",80,80,15000,"failed"
"137054","Option 3, The Store House","Fashion","Fashion","USD","2014-04-05",1000,"2014-03-05 19:57:01",0,0,"US",0,0,1000,"failed"
"20661","NEW ARTIST BONITA NEEDS YOUR HELP FOR HER NEXT VIDEO !!!","Hip-Hop","Music","USD","2012-07-07",500,"2012-06-21 02:20:20",95,7,"US",95,95,500,"failed"
"148537","365 Creative Commons Shots","Photography","Photography","USD","2009-08-29",300,"2009-05-31 15:58:53",35.77,7,"US",35.77,35.77,300,"failed"
"93644","Help fund my independent record label Imperial Music Group.","Hip-Hop","Music","USD","2016-02-12",1000,"2016-01-12 18:18:03",1,1,"US",1,1,1000,"failed"
"240008","Aktion Clothing/Merchandise Empire","Apparel","Fashion","USD","2015-02-19",1000,"2015-01-20 22:15:49",0,0,"US",0,0,1000,"failed"
"66531","Erweiterung meiner Hobbybrauerei","Drinks","Food","EUR","2017-08-12",500,"2017-06-13 22:10:28",0,0,"DE",0,0,587,"failed"
"127066","The Last Portrait","People","Photography","USD","2014-08-30",2500,"2014-07-31 22:49:18",0,0,"US",0,0,2500,"failed"
"319623","Jazz by Design","Jazz","Music","USD","2015-01-24",35000,"2014-12-25 19:29:55",0,0,"US",0,0,35000,"failed"
"307747","Light Waves & Their Uses: a new semi-opera","Theater","Theater","USD","2011-02-11",1000,"2011-01-16 18:38:43",1474,28,"US",1474,1474,1000,"successful"
"111342","Aaron Raymond EP","Rock","Music","AUD","2016-04-10",4000,"2016-03-11 14:59:22",0,0,"AU",0,0,3081.43,"failed"
"340083","U.S. Dept of War Field Manuals - 1944","Publishing","Publishing","USD","2015-07-30",5000,"2015-06-23 20:16:11",5390,88,"US",5390,5390,5000,"successful"
"133042","Butterfly Phone Band","Technology","Technology","USD","2017-03-28",5000,"2017-02-27 19:03:30",610,28,"US",167,610,5000,"failed"
"286703","3D Printed Robotic Hand","Robots","Technology","GBP","2013-04-10",10000,"2013-03-11 11:01:06",12086,155,"GB",18033.56,18565,15360.75,"successful"
"15565","La Bella Torte's Cannoli Truck Wants to come home","Food","Food","USD","2012-01-10",50000,"2011-11-26 15:35:37",30,1,"US",30,30,50000,"failed"
"333828","Human Chess Masters Tournament","Performance Art","Art","USD","2012-06-15",3000,"2012-05-10 00:38:13",762,4,"US",762,762,3000,"failed"
"136330","Shellie The Magical Dog, ""Shellie Goes Hollywood""","Children's Books","Publishing","USD","2015-03-19",10500,"2015-02-17 16:56:55",0,0,"US",0,0,10500,"failed"
"37331","Robotiky: Make coding into child's play","Technology","Technology","GBP","2014-04-09",25000,"2014-03-10 18:58:58",25500,241,"GB",42625.03,42664.97,41828.4,"successful"
"131216","Cemeteries of the Southeast","Photobooks","Photography","USD","2015-03-10",15000,"2015-02-08 01:25:15",475,12,"US",475,475,15000,"failed"
"209328","Let the sun shine energy saver","Technology","Technology","USD","2014-08-10",10000,"2014-07-11 22:35:54",1,1,"US",1,1,10000,"failed"
"213267","2011 HONK! Festival of Activist Street Bands","Music","Music","USD","2011-08-18",10000,"2011-07-19 23:02:20",10507.52,211,"US",10507.52,10507.52,10000,"successful"
"46041","Strength In Shadows' First Tour & Music Video","Music","Music","USD","2013-11-21",5000,"2013-10-12 02:54:55",150,4,"US",150,150,5000,"failed"
"307729","Oscar Wilde's SALOME  by Black Moon Theatre Company","Theater","Theater","USD","2011-06-10",3000,"2011-05-09 15:52:41",3445,51,"US",3445,3445,3000,"successful"
"235","Water Purification System Using Solar Evacuated Tube","Product Design","Design","USD","2016-04-28",150,"2016-04-08 23:36:17",218,15,"US",218,218,150,"successful"
"219460","""Rise"" – a new CD by Brett Randell","Music","Music","USD","2015-04-01",7000,"2015-03-02 17:01:24",12060,196,"US",12060,12060,7000,"successful"
"309516","Which Die Is That Again?","Webseries","Film & Video","USD","2011-09-11",2000,"2011-06-13 19:46:23",50,2,"US",50,50,2000,"failed"
"251699","Rehearsals and Returns","Video Games","Games","USD","2013-06-28",3300,"2013-05-29 20:29:05",6094,321,"US",6094,6094,3300,"successful"
"62061","Mists Of Memory - A Feature Film","Film & Video","Film & Video","USD","2011-08-24",50000,"2011-05-26 04:28:30",0,0,"US",0,0,50000,"failed"
"274362","Vegas Show","Theater","Theater","USD","2016-10-30",5500,"2016-10-03 22:51:04",1,1,"US",0,1,5500,"failed"
"79392","Allevi8 - Recovery Bedding","Product Design","Design","GBP","2017-09-02",5000,"2017-08-03 21:21:24",16721.6,240,"GB",2010.06,22095.72,6606.94,"successful"
"315517","Stream TV: The Future of Television","Technology","Technology","USD","2017-12-01",150000,"2017-11-01 16:37:12",385,9,"US",25,385,150000,"failed"
"279205","Santosha Chocolate: Fuel for the Mind & Body","Vegan","Food","USD","2016-06-03",9987,"2016-05-04 23:54:30",2128,50,"US",2128,2128,9987,"failed"
"239383","ANIMAL PRESS’ UPCOMING AMAZING NEW BOOKS","Art Books","Publishing","EUR","2017-09-13",11000,"2017-07-25 17:42:43",11286,282,"BE",46.69,13501.45,13159.31,"successful"
"359528","A start to a film-making career","Family","Film & Video","AUD","2016-02-21",500,"2015-12-23 04:31:55",1,1,"AU",0.72,0.72,360.26,"failed"
"289376","Racysuits | Bringing back Grandpa's ski suits from the '80s.","Apparel","Fashion","USD","2016-08-25",20000,"2016-07-26 09:44:57",23383,85,"US",15182,23383,20000,"successful"
"84440","The Stations of the Cross","Painting","Art","USD","2013-04-13",1200,"2013-03-06 23:33:15",1675,31,"US",1675,1675,1200,"successful"
"228382","F/W Chaos Volume 2: A bridge too far!","Graphic Novels","Comics","USD","2015-11-08",3000,"2015-09-28 11:02:54",3500,82,"US",3500,3500,3000,"successful"
"32484","Daughters Of The King","Photography","Photography","USD","2011-12-10",3500,"2011-10-11 16:41:42",3700,50,"US",3700,3700,3500,"successful"
"292108","""HER AIM IS TRUE"" Unlikely rock photographer Jini Dellaccio","Documentary","Film & Video","USD","2014-05-31",35000,"2014-05-01 02:00:48",36353,285,"US",36353,36353,35000,"successful"
"56791","Reckoneyes Fashion Apparel","Apparel","Fashion","USD","2015-04-09",2000,"2015-02-08 22:07:06",2000,12,"US",2000,2000,2000,"successful"
"98449","Stainless Steel Everyday Carry Beard Combs","Product Design","Design","USD","2014-07-10",8000,"2014-06-10 05:45:46",13817,331,"US",13817,13817,8000,"successful"
"298069","Pocket Time Machine Playing Cards","Tabletop Games","Games","USD","2013-08-26",7500,"2013-07-29 23:01:16",8922,374,"US",8922,8922,7500,"successful"
"105923","""The Naked Pixel"" SweetAmber","People","Photography","USD","2016-06-16",200,"2016-06-01 00:52:39",283,14,"US",283,283,200,"successful"
"38168","Help Open Shalom Japan","Food","Food","USD","2013-07-27",15000,"2013-06-27 02:05:13",20086.18,131,"US",20086.18,20086.18,15000,"successful"
"352514","""Cobble-Stones"" Exclusive Mobile Off-the-Grid Boutique","Fashion","Fashion","USD","2012-09-22",5000,"2012-08-23 00:13:42",345,9,"US",345,345,5000,"failed"
"172831","Let Go","Festivals","Film & Video","USD","2015-03-27",10000,"2015-02-25 23:14:16",0,0,"US",0,0,10000,"failed"
"8625","Manhattan Mushroom Co. Eco-Tech urban Mushroom Farm NYC","Farms","Food","USD","2016-03-08",96300,"2016-02-09 00:13:26",1775,20,"US",1775,1775,96300,"failed"
"168981","Grayhat: A Weird Western #1","Comic Books","Comics","USD","2015-05-01",1000,"2015-04-01 18:45:49",1047,47,"US",1047,1047,1000,"successful"
"117336","German Gebirgsjäger WWII 28mm","Tabletop Games","Games","EUR","2017-01-31",2000,"2017-01-05 19:51:47",10410,94,"DE",1653.14,11181.41,2148.2,"successful"
"248473","Nora & Leo, The Simple Solution to Positive Parenting Kids","Live Games","Games","USD","2015-11-12",15000,"2015-10-13 17:13:51",15189,147,"US",15189,15189,15000,"successful"
"22812","The Journey Book Signing Event","Nonfiction","Publishing","USD","2017-12-23",1000,"2017-11-23 07:05:19",65,5,"US",40,65,1000,"failed"
"172709","Rags & Royal | We Dress The City With Style","Apparel","Fashion","USD","2015-07-16",2500,"2015-06-16 00:08:51",991,18,"US",991,991,2500,"failed"
"217318","The Cat's Pajamas","Children's Books","Publishing","USD","2017-04-16",3500,"2017-03-17 19:11:00",1237,32,"US",251,1237,3500,"failed"
"311126","RP Saga clash of war (Global)","Mobile Games","Games","USD","2015-03-01",39000,"2015-01-28 14:54:34",0,0,"US",0,0,39000,"failed"
"340985","The Super Happy Fun Club - European Tour","Rock","Music","USD","2011-08-19",2500,"2011-07-19 18:56:19",4210,76,"US",4210,4210,2500,"successful"
"190737","Kabuhayan","Documentary","Film & Video","USD","2016-01-22",3700,"2015-12-23 20:56:42",3935,62,"US",3935,3935,3700,"successful"
"116847","Wish you were here: Polaroids from New York","Places","Photography","USD","2015-07-25",1000,"2015-06-25 03:48:37",13,2,"US",13,13,1000,"failed"
"178295","Fluffy Dice - The TV Show","Webseries","Film & Video","GBP","2014-09-07",13000,"2014-07-09 00:10:24",0,0,"GB",0,0,21102.53,"failed"
"187357","Let's keep on PEDALING!","Shorts","Film & Video","USD","2010-06-01",15000,"2010-03-04 20:23:11",0,0,"US",0,0,15000,"failed"
"137734","Print fundraiser for painting, Rape of the Changeling","Digital Art","Art","USD","2015-05-18",620,"2015-05-04 22:27:42",1045,11,"US",1045,1045,620,"successful"
"337925","Foreword Server App","Apps","Technology","USD","2017-10-03",9800,"2017-09-03 13:56:34",10,1,"US",0,10,9800,"failed"
"4593","Breaking The Girl - The Very Beginning","Fiction","Publishing","USD","2015-02-24",150,"2015-02-18 19:43:17",1320,27,"US",1320,1320,150,"successful"
"106168","Dreams Do Come True...","Documentary","Film & Video","USD","2014-04-18",30000,"2014-03-19 12:54:29",30,2,"US",30,30,30000,"failed"
"366711","Mormon Discussion Podcast : Leading with Faith Podcast","Radio & Podcasts","Publishing","USD","2014-06-02",3000,"2014-05-03 00:34:04",3500,48,"US",3500,3500,3000,"successful"
"34070","LeadHERship around the Globe","Publishing","Publishing","USD","2014-05-04",12000,"2014-04-03 22:25:29",192,6,"US",192,192,12000,"failed"
"29894","Classical Ballet ( fairy-tale )  "" Lilies Pond ""","Classical Music","Music","USD","2012-03-16",12000,"2012-02-08 07:39:35",10150,3,"US",10150,10150,12000,"failed"
"63121","Sleep With Me - The Best (pillow) You've Ever Had","Product Design","Design","USD","2014-12-06",25000,"2014-11-04 09:05:04",16840,262,"US",16840,16840,25000,"failed"
"235591","a Librarian writes a Book","Fiction","Publishing","USD","2016-01-30",2500,"2015-12-30 20:42:51",95,4,"US",95,95,2500,"failed"
"313655","Victoria Watts is Making Another Record!!!","Pop","Music","USD","2014-12-19",2600,"2014-11-19 22:07:46",3280,41,"US",3280,3280,2600,"successful"
"338686","Bart Ehrman Story","Documentary","Film & Video","USD","2011-02-27",10000,"2011-02-17 21:07:27",125,2,"US",125,125,10000,"failed"
"24173","Fallout: Nuka Break - Tales from the Wasteland","Film & Video","Film & Video","USD","2014-07-29",20000,"2014-06-25 18:01:01",66625.52,1129,"US",66625.52,66625.52,20000,"successful"
"76189","Pip's Real Hot Vegan Expansion","Vegan","Food","GBP","2016-08-03",300,"2016-07-17 13:42:34",468,34,"GB",46.15,615.61,394.62,"successful"
"144847","Priors' Silhouette","Narrative Film","Film & Video","USD","2015-04-13",500,"2015-04-03 06:54:57",1022,18,"US",1022,1022,500,"successful"
"340850","Peoplemover's Vinyl Record","Indie Rock","Music","USD","2012-06-28",2200,"2012-05-29 20:28:08",2831,62,"US",2831,2831,2200,"successful"
"128332","Love From Milan Women's On trend Boutique Fashion Jewellery","Jewelry","Fashion","GBP","2015-12-18",2500,"2015-11-18 14:25:34",0,0,"GB",0,0,3728,"failed"
"228406","ArtMoose TV Series","Television","Film & Video","USD","2014-06-16",12000,"2014-05-01 21:06:51",12029,70,"US",12029,12029,12000,"successful"
"80413","Transplanting: Season 2 - A Comedy Web Series in Asheville","Webseries","Film & Video","USD","2016-03-27",3300,"2016-02-26 17:00:24",4406,39,"US",4406,4406,3300,"successful"
"57684","Monster Derby Board Game","Tabletop Games","Games","USD","2013-09-12",10000,"2013-08-13 06:24:55",10096,105,"US",10096,10096,10000,"successful"
"5002","Underground Art Preserving Life Along the US & Mexico Border","Product Design","Design","USD","2015-06-02",2000,"2015-05-11 23:58:29",325,4,"US",325,325,2000,"failed"
"353809","Alta X Caesars","Drinks","Food","USD","2016-06-19",20000,"2016-05-20 15:22:18",0,0,"US",0,0,20000,"failed"
"262053","ANI bikinis [LOVE STREET] Collection PRESALE","Fashion","Fashion","USD","2011-12-02",3000,"2011-11-17 06:06:54",3001,22,"US",3001,3001,3000,"successful"
"316177","Cornwall & Area Pop Event - CAPE 2016","Events","Comics","CAD","2015-08-22",10000,"2015-06-23 03:25:39",60,2,"CA",48.91,45.21,7535.23,"failed"
"111875","Awakening Cafe","Food","Food","USD","2012-12-10",15000,"2012-11-16 15:21:59",16300,29,"US",16300,16300,15000,"successful"
"208852","2011 NEXT Bash","Music","Music","USD","2011-05-01",6500,"2011-03-26 05:17:15",780,23,"US",780,780,6500,"failed"
"236055","Terraza Big Band Debut Album","Jazz","Music","USD","2017-11-05",12000,"2017-09-21 19:15:17",12549,104,"US",558,12549,12000,"successful"
"135917","Archie Boy's BBQ","Food Trucks","Food","USD","2016-08-11",25000,"2016-06-27 04:50:32",2425,14,"US",50,2425,25000,"failed"
"240648","Monette's Kitchen","Cookbooks","Food","USD","2014-08-23",6000,"2014-07-19 19:06:07",125,2,"US",125,125,6000,"failed"
"168106","Documenting Harmony: Music Education in the Holy Land","Photography","Photography","USD","2011-11-28",4750,"2011-11-03 14:19:18",5355,65,"US",5355,5355,4750,"successful"
"358649","GUTS HM1: Mount Nearly Anything to a Helmet or Hardhat","Product Design","Design","USD","2013-10-01",8800,"2013-08-29 05:48:20",1277,43,"US",1277,1277,8800,"failed"
"256863","Culture of Gaming Website","Web","Journalism","AUD","2017-09-12",300,"2017-08-13 01:50:32",300,6,"AU",3.92,240.69,240.69,"successful"
"53748","Pitbull Art show Black light Show!","Art","Art","USD","2011-10-29",250,"2011-10-13 04:32:31",156.5,7,"US",156.5,156.5,250,"failed"
"73812","Iran!! They say no to dance! I say yes!!","Performances","Dance","USD","2014-09-23",1e+05,"2014-07-25 23:43:24",5,1,"US",5,5,1e+05,"failed"
"183307","Haunted Queen Anne: House of Nightmares","Theater","Theater","USD","2012-09-24",17500,"2012-09-03 16:09:04",150,2,"US",150,150,17500,"failed"
"151867","MIR: The World Domination Game","Video Games","Games","USD","2013-12-22",25000,"2013-11-22 17:40:08",45,3,"US",45,45,25000,"failed"
"61476","Hug Me App - Sharing the Power of Hugs","Apps","Technology","USD","2014-12-24",1e+05,"2014-11-24 22:49:46",50,1,"US",50,50,1e+05,"failed"
"341584","Um No Mar De Rosas / One in a Sea of Roses","Installations","Art","USD","2014-06-12",500,"2014-05-22 13:03:29",540,15,"US",540,540,500,"successful"
"267581","House of Ghosts: Retro Horror Science Fiction Zombie Scifi","Narrative Film","Film & Video","USD","2012-02-29",50,"2012-02-07 03:53:10",350,5,"US",350,350,50,"successful"
"77147","Synchronized Wireless Bicycle Lights - Arsenal Cycling","Hardware","Technology","USD","2016-10-15",20000,"2016-09-14 00:27:08",21347,159,"US",1699,21347,20000,"successful"
"80261","Bible Verses & Baseball:  A Fundraising Effort for Youth","Photography","Photography","USD","2014-06-08",3500,"2014-04-24 20:42:33",60,3,"US",60,60,3500,"failed"
"74392","The next big HonestGamers game guide","Video Games","Games","USD","2014-08-05",80,"2014-07-08 03:33:16",87,10,"US",87,87,80,"successful"
"167180","Lillian Nichole's Album","Indie Rock","Music","USD","2011-01-01",2100,"2010-12-02 04:27:05",590,9,"US",590,590,2100,"failed"
"238826","Bloom - An SFSU Thesis Film","Shorts","Film & Video","USD","2016-03-06",2000,"2016-02-07 05:55:29",2165,20,"US",2165,2165,2000,"successful"
"83082","Cyantian Chronicles Fall Printing Run","Webcomics","Comics","USD","2016-12-07",600,"2016-11-07 17:05:46",1060,31,"US",40,1060,600,"successful"
"92134","Feel Afraid: a Webcomic","Comics","Comics","USD","2010-11-04",200,"2010-10-07 06:57:08",442.52,19,"US",442.52,442.52,200,"successful"
"343497","The Phoenix Cycle","Fiction","Publishing","USD","2014-04-03",2000,"2014-02-17 02:35:54",291,6,"US",291,291,2000,"failed"
"189099","Lowered Expectations- The Pilot Fundraiser","Comedy","Film & Video","USD","2014-12-04",650,"2014-11-20 05:05:39",688,23,"US",688,688,650,"successful"
"159093","Put Your F***ing Phone Away!","Fiction","Publishing","USD","2016-05-25",16000,"2016-04-25 03:00:24",16336,151,"US",16336,16336,16000,"successful"
"250502","Throwaway Kids","Comics","Comics","USD","2015-03-29",7300,"2015-02-22 23:51:04",685,6,"US",685,685,7300,"failed"
"327644","KOMBI - NATION 1957-2013","Photography","Photography","USD","2013-12-12",6000,"2013-11-12 12:04:22",1864.5,59,"US",1864.5,1864.5,6000,"failed"
"46196","Your Media-Music Alive ","Film & Video","Film & Video","USD","2010-12-02",29000,"2010-10-18 05:22:32",1,1,"US",1,1,29000,"failed"
"128444","Folding rescue stretcher rescue basket combination","Technology","Technology","USD","2017-07-02",20000,"2017-05-03 17:12:15",0,0,"US",0,0,20000,"failed"
